bias_category,total_offenses,source_table,source_url,source_note
Total,6933,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Single-Bias Incidents,6921,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Race,3407,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Religion,1163,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Sexual Orientation,1402,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Ethnicity,794,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Disability,92,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Gender,30,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Gender Identity,33,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"
Multiple-Bias Incidents,12,FBI Table 4,https://ucr.fbi.gov/hate-crime/2013/tables/4tabledatadecpdf,"Offenses by Bias Motivation and Offense Type, 2013"

